repeat,mask_source,strategy,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
16,kmeans,Bayes + análisis,"a*,R,S",-3.8104185720591808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,kmeans,Bayes + SFS,"H,B,V,R",-0.27236744563747717,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
16,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.8753225505725237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,reference,Bayes + análisis,"a*,R,S",-5.124249761523666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,reference,Bayes + SFS,H,-10.091495612973826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,reference,PCA + Bayes,"PC1,PC2,PC3",-1.763499276471698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,kmeans_linear_hue,Bayes + análisis,"a*,R,H",1.9491754880027496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,kmeans_linear_hue,Bayes + SFS,"a*,S,V,B",-2.8835892329809116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
16,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.24425151102931686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans,Bayes + análisis,"H,G,R",0.1481833531769503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans,Bayes + SFS,"H,G,B,R,S",-1.5562719083942422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans,PCA + Bayes,"PC1,PC2,PC3",-0.8628976231337124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,reference,Bayes + análisis,"a*,R,S",3.2188108623006704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,reference,Bayes + SFS,H,-3.2380034837866476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,reference,PCA + Bayes,"PC1,PC2,PC3",-3.796713575527843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans_linear_hue,Bayes + análisis,"a*,R,S",3.9903402745952796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans_linear_hue,Bayes + SFS,"a*,S,B",1.819830321032307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
17,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0.9003610914951903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,kmeans,Bayes + análisis,"a*,S,R",2.5883927929741004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,kmeans,Bayes + SFS,"H,S",0.21399613702347908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.5498973450383016,0.9722222222222223,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
18,reference,Bayes + análisis,"a*,R,S",2.131422484328051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,reference,Bayes + SFS,H,-3.3964745905807088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,reference,PCA + Bayes,"PC1,PC2,PC3",-2.867467663481957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,kmeans_linear_hue,Bayes + análisis,"a*,H,S",0.5015716964266366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
18,kmeans_linear_hue,Bayes + SFS,"a*,S",1.3692890461771263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
