repeat,combination,postprocess,mask_source,strategy,features,corrected,introduced,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
13,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-8.59072633776192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,-2.4722373659524006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,B,R,V",1,0,-3.5186782640277734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
13,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,0,0.13734749479296893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,kmeans,Bayes + análisis,"a*,R,b*",0,0,6.3860635326238535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,kmeans,Bayes + SFS,H,0,0,-2.3223519934562624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,0.8273682190358111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,reference_test_swap,Bayes + análisis,"a*,R,b*",0,0,6.3860635326238535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,reference_test_swap,Bayes + SFS,H,0,0,-2.3223519934562624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,reference_test_swap,PCA + Bayes,"PC1,PC2,PC3",0,0,0.8273682190358111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
14,RB,True,reference_fixed,Bayes + análisis,"a*,R,b*",0,0,27.26132774656104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
